,rawid,title,mapping_iid,iid
0,B00004RC2D,PalmOne IIIxe Personal Handheld Organizer,B00004RC2D,1
1,B00000J3LO,"HP Printer Paper, BrightWhite24, 8.5 x 11, Letter,",B00000J3LO,2
2,B00004TS28,Epson T007201 Inkjet Cartridge -Black,B00004TS28,3
3,B00001MXVQ,"Fellowes Gel Wrist Rest, Graphite/Platinum (91737)",B00001MXVQ,4
4,B00005AWBJ,PalmOne m500 Handheld BULK PACKAGING,B00005AWBJ,5
5,0768881714,Sgt. Peppers Lonely Hearts Club Band-The Beatles 2,0768881714,6
6,B00004T93Q,HP 4461199 15 Black Original Ink Cartridge (C6615D,B00004T93Q,7
7,B00006IBR3,"Alliance Rubber 07755 Non-Latex Brites File Bands,",B00006IBR3,8
8,B00005MEP6,Brother HL-1440 Laser Printer,B00005MEP6,9
9,B000Q5XTBQ,"Casio FX 260 Solar II Scientific Calculator, Black",B000Q5XTBQ,10
10,1619928914,Cavallini 2017 Vintage Maps Desk Calendar,1619928914,11
11,B00006IFEU,"Sharpie Permanent Markers, Fine Point, Purple, 12-",B00006IFEU,12
12,B00006IFI5,"Sharpie 37003 Ultra-Fine Permanent Marker, Marks o",B00006IFI5,13
13,B00000JZKB,Texas Instruments BA II Plus Financial Calculator,B00000JZKB,14
14,B00006IEJ6,"Sharpie 25005 Accent Tank Highlighters, Chisel Tip",B00006IEJ6,15
15,B00006IEJC,"Sharpie Accent Tank-Style Highlighters, 6 Colored",B00006IEJC,16
16,B00A89YZ6S,"Sharpie 37001 Permanent Markers, Ultra Fine Point,",B00A89YZ6S,17
17,B00006IEJQ,"HI-LITER Desk Style, Assorted, Pack of 12 (98034)",B00006IEJQ,18
18,B00000JBNX,Texas Instruments TI-30X IIS 2-Line Scientific Cal,B00000JBNX,19
19,B00006IE5K,"Paper Mate Write Bros Ballpoint Pens, Medium Point",B00005BNFK,20
20,B00006IEIN,"BIC Brite Liner Grip Highlighter, Chisel Tip, Asso",B00006IEIN,21
21,B00006IEIO,"BIC Brite Liner Highlighter, Chisel Tip, Green, 12",B00006IEIO,22
22,B00006IQCV,"BIC Brite Liner Grip Highlighter, Chisel Tip, Yell",B00006IQCV,23
23,B00006IE8K,"uni-ball Vision Rollerball Pens, Fine Point (0.7mm",B00006IE8K,24
24,B00006IE9D,"Uni-Ball 65808PP 207 Impact Gel Pen Refills, Bold",B00006IE9D,25
25,B00004U8RN,Canon BCI-3e Color Ink Tank for the BC-31e InkJet,B00004U8RN,26
26,B00000JBO8,Texas Instruments TI-83 Graphing Calculator,B00000JBO8,27
27,B00000JF53,Texas Instruments TI-86 Graphing Calculator,B00000JF53,28
28,B00004VVIX,Brother PT-65 P-touch Home and Hobby Labeler with,B00004VVIX,29
29,B00006IEIJ,"Zebra Zazzle Liquid Ink Highlighter, Chisel Tip, A",B00006IEIJ,30
30,B000078CSF,"Columbian Manila Envelopes, 9 x 12 Inch, Grip Seal",B000078CSF,31
31,B0000721Z3,"Canon 7981A004 Photo Paper Plus, Matte, 8-1/2 x 11",B0000721Z3,32
