uid,iid,his_len,hist_id,rating,label,hist_rating,hist_label,timestamp
2555,1234,10,"[2023, 2121, 2121, 2746, 2848, 3207, 520, 3318, 3098, 3098]",5.0,1,"[1.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 1.0, 3.0, 3.0]","[0, 1, 1, 1, 1, 0, 1, 0, 0, 0]",1372204800
3069,1408,10,"[31, 2023, 3583, 3413, 3741, 4341, 4342, 1057, 1407, 1407]",5.0,1,"[5.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 0, 1, 0, 1, 1, 1, 1, 1]",1487203200
3182,8684,10,"[1161, 3768, 1805, 4237, 4636, 979, 52, 1651, 1651, 4548]",5.0,1,"[2.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1461628800
6495,7338,10,"[2886, 4194, 4748, 6034, 1952, 1196, 2337, 7399, 478, 8567]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1]",1478995200
8031,109,10,"[1886, 2929, 2953, 3214, 3633, 4946, 5876, 5882, 6838, 6839]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1424476800
7626,7279,10,"[1237, 5101, 1128, 513, 3017, 7649, 2712, 35, 36, 8948]",5.0,1,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1463097600
1452,8635,10,"[1989, 5917, 6030, 6214, 6718, 6995, 7133, 7622, 7752, 612]",5.0,1,"[2.0, 5.0, 5.0, 5.0, 3.0, 3.0, 5.0, 3.0, 5.0, 4.0]","[0, 1, 1, 1, 0, 0, 1, 0, 1, 0]",1455753600
7889,3665,10,"[3297, 3323, 918, 5345, 2592, 2742, 1345, 1346, 4982, 3665]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1474588800
4355,6649,10,"[3371, 4277, 5128, 514, 514, 1788, 4541, 4703, 4907, 6610]",5.0,1,"[5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 1.0]","[1, 1, 0, 1, 1, 0, 1, 1, 0, 0]",1430265600
11822,6621,10,"[5439, 5880, 7845, 2256, 5565, 6470, 6693, 4339, 3701, 3701]",5.0,1,"[5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 0, 1, 0, 1, 1, 1, 1]",1489968000
