,rawid,title,mapping_iid,brand,style,category,iid
0,B00BK8T60G,XGRIP - Magazine Sleeve Provides Better Grip (Maga,B00BK8T60G,X-Grip,[],['Sports & Fitness'],1
1,B002CC6BPM,Condor Tool & Knife Condor Tool and Knife CTK2,B002CC6BPM,Condor Tool & Knife,[],['Sports & Fitness'],2
2,B00DPH5TL0,ORCA 140 quart Cooler With Extendable flex-grip ha,B00DPH5TL0,ORCA,[],['Outdoor Recreation'],3
3,B00J8KU3D2,Outdoor Recreational Company of America Cooler wit,B00J8KU3D2,Outdoor Recreational Company of America,[],['Outdoor Recreation'],4
4,B00LNKXNNM,Outdoor Recreational Company of America Cooler wit,B00J8KU3D2,Outdoor Recreational Company of America,[],['Outdoor Recreation'],5
5,B000OYHCHG,Park Tool Mini Chain Brute Chain Tool - CT-5,B000OYHCHG,Park Tool,[],['Outdoor Recreation'],6
6,B000QSXMME,Planet Bike Blinky Safety bike light set,B000QSXMME,Planet Bike,[],['unknown category'],7
7,B0030KS6YO,XLC V-Brake braking pad BS-V01 4 pces.,B0030KS6YO,XLC,[],['Outdoor Recreation'],8
8,B0060PI5VA,Takara Sugiyama Flat Bar Fixie Bike,B0060PI5VA,KENT,[],['Outdoor Recreation'],9
9,B008SKDJNY,Venom Blowguns Spike Darts for True .40 Cal Blowgu,B008SKDJNY,Venom Blowguns,[],['Sports & Fitness'],10
10,B00O62G02U,Ade Advanced Optics Ultra Compact Pistol Class 3R,B00O62G02U,Ade Advanced Optics,[],['Sports & Fitness'],11
11,B00JFG8YXA,"5/8"" Contoured Side Release Buckles for Parac",B00JFG8YV2,KAM,[],['Sports & Fitness'],12
12,B001BR4RO6,MetalTac Airsoft Speed Loader with Capacity of 100,B001BR4RO6,MetalTac,[],['Sports & Fitness'],13
13,B002W1KX6G,GXG XVSN Paintball Masks,B002W1KX6G,Gen X Global,[],['Sports & Fitness'],14
14,B0015RZCZK,Club Glove- Stiff Arm Travel Golf Club Protector,B0015RZCZK,Club Glove,[],['Sports & Fitness'],15
15,B002VE15XY,Sub Sports Mens Compression Running Shorts Trunks,B002VE15XY,Sub Sports,[],['Sports & Fitness'],16
16,B003WU9VKK,Hydro Flask Vacuum Insulated Stainless Steel Water,B003WU9VKK,Hydro Flask,[],['unknown category'],17
17,B00591U6LI,2XU Compression Calf Guards,B00591U6LI,2XU,[],['Sports & Fitness'],18
18,B002AXQIWO,"Pachmayr Tactical Grip Glove for Glock 17, 20, 21,",B002AXQIWO,Pachmayr,[],['Sports & Fitness'],19
19,B001B92OOE,SKB ATA Short Double Rifle Case,B001B92OOE,SKB,[],['Sports & Fitness'],20
