uid,iid,his_len,hist_id,rating,label,hist_rating,hist_label,timestamp
17222,22784,10,"[9430, 13981, 13982, 18371, 20220, 13997, 22109, 22781, 22782, 22783]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1]",1460678400
11424,6652,10,"[3533, 1811, 19964, 168, 4926, 2706, 2706, 2707, 2708, 2709]",3.0,0,"[2.0, 4.0, 3.0, 4.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1505260800
12487,26706,10,"[9169, 583, 19548, 704, 6654, 12644, 5371, 5428, 1272, 21052]",1.0,0,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 1.0, 4.0]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",1497052800
16919,577,10,"[4953, 6179, 7377, 9754, 13546, 14856, 4089, 4089, 13373, 126]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",1468281600
5497,2379,10,"[3226, 7908, 7909, 1943, 3857, 9679, 9680, 637, 1640, 3268]",5.0,1,"[4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 2.0, 4.0]","[0, 1, 1, 1, 1, 1, 0, 1, 0, 0]",1432252800
1941,17912,10,"[2713, 2714, 3382, 6891, 7800, 8162, 9988, 10454, 11144, 16608]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1467331200
26398,4332,10,"[11795, 23169, 25446, 1805, 16105, 12958, 23021, 23022, 2081, 4073]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1503187200
6623,9385,10,"[8464, 3398, 3399, 14338, 5084, 19505, 19506, 19040, 1251, 16690]",5.0,1,"[5.0, 2.0, 2.0, 5.0, 3.0, 4.0, 4.0, 4.0, 5.0, 5.0]","[1, 0, 0, 1, 0, 0, 0, 0, 1, 1]",1462233600
9177,19496,10,"[1211, 1214, 1214, 3367, 4073, 6954, 8088, 9874, 11442, 12515]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1471737600
23393,6781,10,"[1932, 9635, 15295, 3063, 3437, 5194, 6782, 1897, 13509, 20380]",5.0,1,"[5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",1468540800
25981,1647,10,"[478, 5946, 10103, 3837, 22995, 24665, 4324, 25074, 638, 832]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 1.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1]",1482364800
27874,20945,10,"[98, 583, 678, 788, 2506, 3674, 6011, 9331, 11878, 18274]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1492992000
9349,14011,10,"[11755, 1710, 1711, 1968, 5099, 5100, 5422, 5764, 10908, 14010]",5.0,1,"[4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 5.0]","[0, 1, 1, 1, 1, 1, 0, 0, 0, 1]",1429747200
3802,5849,10,"[1464, 1900, 2446, 2485, 3230, 3533, 3751, 5027, 5847, 5848]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1417996800
