,rawid,title,mapping_iid,brand,iid
0,B00IANTSJI,LEGO Star Wars 75037 Battle on Saleucami (Disconti,B00IANTSJI,LEGO,1
1,B00IANTUQO,"LEGO, Star Wars, Utapau Troopers (75036)",B00IANTUQO,LEGO,2
2,B00ILA278E,Star Wars Rebels Stormtrooper Blaster,B00ILA278E,Star Wars,3
3,B00B3QT5U6,PLAYMOBIL Giant Battle Dragon with LED Fire,B00B3QT5U6,PLAYMOBIL,4
4,B0019I8OOQ,Rhode Island Novelty 12 Pull Back Racer Cars,B0019I8OOQ,Rhode Island Novelty,5
5,B002APG82M,"JC Toys, La Baby 11-inch African American Washable",B002APG82M,JC Toys,6
6,B00B2ZZVNS,"Ty Beanie Babies Winnie The Pooh Plush, Classic Be",B00B2ZZVNS,Ty Beanie Babies,7
7,B00FEN6PD4,Disney Frozen Exclusive 9 Inch Plush Figure Olaf,B00FEN6PD4,Disney,8
8,B00IVFCK6I,Monster High Freaky Fusion Sirena von Boo Doll (Di,B00IVFCK6I,Monster High,9
9,B001IIH862,Fisher-Price Imaginext DC Super Friends Batman an,B001IIH862,Fisher-Price,10
10,B006J4SPXK,"Fisher-Price Imaginext DC Super Friends, Clayface",B006J4SPXK,Fisher-Price,11
11,B00EC0WTG2,Fisher-Price Imaginext - Adventure City Burglar an,B00EC0WTG2,Fisher-Price,12
12,B0057VQXN0,PLAYMOBIL Rescue Ambulance,B0057VQXN0,PLAYMOBIL,13
13,B00AU56C5W,PicassoTiles 100 Piece Set 100pcs Magnet Building,B00AU56C5W,PicassoTiles,14
14,B00ND5XTA2,Melissa & Doug Design-Your-Own Jewelry-Making,B00ND5XTA2,Melissa & Doug,15
15,B00G6Z6HHS,Liberty Imports Cartoon R/C Police Car Radio Contr,B00G6Z6HHS,Liberty Imports,16
16,B00OJ9LBRO,Star Wars - The Black Series: Imperial Shadow Squa,B00OJ9LBRO,Star Wars,17
17,B00IDB6J0S,Concept,B00IDB6J0S,Asmodee,18
18,B00I4JZOIM,Bandai Ressha Sentai Tokkyuger Henshin Bracelet DX,B00I4JZOIM,Bandai,19
19,B00ERARM82,LEGO Ninjago 70722 OverBorg Attack Toy,B00ERARM82,LEGO,20
20,B00ERARM9Q,LEGO Ninjago 70721 Kai Fighter Toy,B00ERARM9Q,LEGO,21
21,B00F3B3L3E,LEGO Hover Hunter,B00F3B3L3E,LEGO,22
22,B00J05N01C,Mega Bloks Call of Duty Ghosts Tactical Helicopter,B00J05N01C,Mega Bloks,23
23,B00B3QT5VA,PLAYMOBIL Great Asian Castle,B00B3QT5VA,PLAYMOBIL,24
24,B0014263VI,81ft Royal Blue Crepe Paper Streamers,B0014263VI,Unique,25
25,B00GTJEX1I,"9oz Gender Reveal Party Cups, 8ct",B00GTJEX1I,Unique Industries,26
26,B00IQ8MVNC,Barbie Fashion Design Maker Doll,B00IQ8MVNC,Barbie,27
27,B00IE0M9UC,niceeshop(TM) 1 Bag(20pcs) Barbie Size Dollhouse F,B00IE0M9UC,Wirezoll,28
28,B004K0DSDC,Be Amazing Toys Energy Stick,B004K0DSDC,Be Amazing! Toys,29
29,B0016L0WNM,Fun Express Rhode Island Novelty Plastic Firefight,B0016L0WNM,Fun Express,30
30,B001IWDMIQ,"Anagram Fire Trucks Jumbo 33"" Foil Balloon",B001IWDMIQ,Anagram,31
31,B000231EX2,"VTech Move and Crawl Ball, Orange",B000231EX2,VTech,32
32,B00IRXJ3ZK,Deluxe Light Up Flutterbye Fairy - Rainbow,B00IRXJ3ZK,Flutterbye Fairy,33
33,B004R5ZF8G,Fun Express - Colorful Intertwined Rubber Balls (P,B004R5ZF8G,Fun Express,34
34,B00GALZI0U,"dazzling toys Punch Balloons, 50 Piece",B00GALZI0U,Dazzling Toys,35
35,B00IRZT1AA,LEGO DUPLO My First Number Train Building Set 1055,B00IRZT1AA,LEGO,36
36,B00IYFBB1K,Fisher-Price Little People Birthday Party,B00IYFBB1K,Fisher-Price,37
37,B000II0T5K,Magformers Basic Set (14-pieces) Magnetic Build,B000II0T5K,Magformers,38
38,B002T5TI98,Magformers Standard Super Magformers Set (30-piece,B002T5TI98,Magformers,39
39,B0094U5958,Mega Bloks Halo - UNSC Cryo Bay,B0094U5958,Mega Bloks,40
40,B0094U5B0G,"Mega Bloks Halo UNSC Mantis, Model 97115, 443 Piec",B0094U5B0G,Mega Bloks,41
41,B00BGT5TXM,Mega Bloks Halo UNSC Seige Bike,B00BGT5TXM,Mega Bloks,42
42,B00FS9OMHU,Mega Bloks Halo Rapid Assault Covenant Ghost,B00FS9OMHU,Mega Bloks,43
43,B00SJ2MUEK,Skip Hop Bandana Buddies Baby Activity and Teethin,B00SJ2MUEK,Skip Hop,44
44,B00J05MPZ4,Mega Bloks Halo UNSC Elephant Troop Carrier,B00J05MPZ4,Mega Bloks,45
45,B004D0D5F0,"Fisher-Price Imaginext DC Super Friends, Batboat",B004D0D5F0,Fisher-Price,46
46,B007J3FA7E,Fisher-Price Imaginext DC Super Friends: Motorized,B007J3FA7E,Fisher-Price,47
47,B00ITKVIRC,Teenage Mutant Ninja Turtles Movie Michelangelo Ba,B00ITKVIRC,Teenage Mutant Ninja Turtles,48
48,B00NHLAKCM,Dromida Kodo Unmanned Aerial Vehicle (UAV) Ready t,B00NHLAKCM,Dromida,49
49,B0014P2ZXU,"Gund Sesame Street Elmo Stuffed Animal, 15 inches",B0014P2ZXU,GUND,50
50,B001W32F02,"LeapFrog LeapReader Learn to Read, Volume 2 (works",B001W32F02,LeapFrog,51
51,B003GIS8TS,LeapFrog LeapReader Interactive World Map (works w,B003GIS8TS,LeapFrog,52
52,B003JQV9LG,"LeapFrog TAG Reading System, compatible with the o",B003JQV9LG,LeapFrog,53
53,B004NCEL4M,Melissa & Doug Deluxe Pounding Bench Wooden To,B004NCEL4M,Melissa & Doug,54
54,B004UU9ZAW,Fisher-Price Laugh & Learn Love to Play Puppy,B00388KWA4,Fisher-Price,55
55,B005193TZ8,"VTech InnoTab Software, Disney's Mickey Mouse Club",B005193TZ8,VTech,56
56,B005VQGB7O,Fisher-Price Dora The Explorer Splash Around Dora,B005VQGB7O,Nickelodeon,57
57,B00AJE1CY0,Fisher-Price Laugh and Learn Love to Play Sis,B00AJE1CY0,Fisher-Price,58
58,B00CNNPNQI,Perplexus Original,B00CNNPNQI,Perplexus,59
59,B002QNM8NQ,"LeapFrog Chat and Count Smart Phone, Scout, Assort",B002QNM8NQ,LeapFrog,60
60,B005P5D7G4,Discovering Music Activity Table,B005P5D7G4,Baby Einstein,61
61,B00FQSKGXC,VTech Spin and Learn Color Flashlight Amazon Exclu,B00FQSKGXC,VTech,62
62,B00KB8U1I2,VTech Touch and Learn Activity Desk,B00KB8U1I2,VTech,63
63,B00AG2ODIC,Right Track Toys Wooden Train Track Deluxe Set: 56,B00AG2ODIC,Right Track Toys,64
64,B007J3F98O,Fisher-Price Thomas & Friends Steam 'n Speed R,B007J3F98O,Thomas & Friends,65
65,B00HMDSOHE,Disguise Marvel The Amazing Spider-Man 2 Movie Spi,B00HMDSOHE,Disguise,66
66,B0024IFMUO,Crayola 12 Ct Twistables Colored Pencils,B0024IFMUO,Crayola,67
67,B0057067SC,Monster High Spectra Vondergeist Doll With Pet Fer,B0057067SC,Monster High,68
68,B0060S30PI,Monster High Skull Shores Ghoulia Yelps Doll,B0060S30PI,Monster High,69
69,B006WAJM1A,Monster High Nefera de Nile Doll,B006WAJM1A,Monster High,70
70,B006X415GK,Monster High Skull Shores Black and White Frankie,B006X415GK,Monster High,71
71,B00780XZ8Y,Monster High Wolf sisters Clawdeen and Howleen Wol,B00780XZ8Y,Monster High,72
72,B008B68IE0,Monster High Travel Scaris Skelita Calaveras Doll,B008B68IE0,Monster High,73
73,B00B3Q6JGE,Monster High Travel Catrine DeMew Scaris City of F,B00B3Q6JGE,Monster High,74
74,B00C6PRL18,Monster High 13 Wishes Haunt the Casbah Draculaura,B00C6PRL18,Monster High,75
75,B00C6Q8PFI,Monster High Home Ick Abbey Bominable & Heath,B00C6Q8PFI,Monster High,76
76,B00CEQ1HOQ,Monster High 13 Wishes Howleen Wolf,B00CEQ1HOQ,Monster High,77
77,B00CEQ1HPK,Monster High 13 Wishes Gigi Grant Doll,B00CEQ1HPK,Monster High,78
78,B00CEQ1HQE,Monster High 13 Wishes Lagoona Blue,B00CEQ1HQE,Monster High,79
79,B00CEQ1JOO,Monster High 13 Wishes Twyla Doll,B00CEQ1JOO,Monster High,80
80,B00CGG6REE,Monster High Werecat Twin Sisters - Meowlody and P,B00CGG6REE,Monster High,81
81,B00F14IHM8,Monster High Art Class Robecca Steam Doll,B00F14IHM8,Monster High,82
82,B00F14IHO6,Monster High Art Class Draculaura Doll,B00F14IHO6,Monster High,83
83,B00F14IJ6W,Monster High Art Class Abbey Bominable Doll,B00F14IJ6W,Monster High,84
84,B00F14IJ7Q,Monster High Art Class Skelita Calaveras Doll (Dis,B00F14IJ7Q,Monster High,85
85,B00F14IM7S,Monster High Ghoul Spirit Frankie Stein Doll,B00F14IM7S,Monster High,86
86,B00F14IMF0,Monster High Ghoul Spirit Venus McFlytrap Doll,B00F14IMF0,Monster High,87
87,B00F14IMIM,Monster High Ghoul Spirit Spectra Vondergeist Doll,B00F14IMIM,Monster High,88
88,B00F14INV8,"Monster High Frights, Camera, Action! Black Carpet",B00F14INUO,Monster High,89
89,B00FJ7M35Y,Monster High Coffin Bean Frankie Stein Doll,B00FJ7M35Y,Monster High,90
90,B00FJ7M368,Monster High Coffin Bean Toralei Doll,B00FJ7M368,Monster High,91
91,B00FJ7M386,Monster High Coffin Bean Abbey Bominable Doll,B00FJ7M386,Monster High,92
92,B00FM88L4W,Monster High New Scaremester Clawdeen Wolf Fashion,B00FM88L4W,Monster High,93
93,B00FM8WGK2,Monster High New Scaremester Jinafire Long Fashion,B00FM8WGK2,Monster High,94
94,B00FMA36BS,Monster High New Scaremester Catrine DeMew Fashion,B00FMA36BS,Monster High,95
95,B00J0RZJIC,Monster High New Scaremester Invisi Billy Doll,B00J0RZJIC,Monster High,96
96,B00KU10OUU,Cash n Guns (2nd Edition),B00KU10OUU,Asmodee,97
97,B00IVFCRF2,Mattel Disney Frozen Ice Skating Elsa Doll,B00IVFCRF2,Mattel,98
98,B00IVFCRKW,Mattel Disney Frozen Ice Skating Anna Doll,B00IVFCRKW,Mattel,99
99,B00J05N3MS,Mega Bloks First Builders Fast Tracks Raceway 50pc,B00J05N3MS,Mega Bloks,100
100,B002WJI66C,"Super Mario Plush - 5"" Ghost Boo Soft Stuffed",B002WJI66C,Sanei,101
101,B0015VM60U,Biodegradable Water Balloons 100 pack,B0015VM60U,Wet Products,102
102,B00GSPFDU8,LEGO Superheroes 76012 Batman: The Riddler Chase (,B00GSPFDU8,LEGO,103
103,B00EZ663OC,Barbie Sisters Chelsea Swing Set,B00EZ663OC,Barbie,104
104,B009AERWEE,Fisher-Price Little People Disney Snow White and T,B009AERWEE,Fisher-Price,105
105,B00BQF1IP4,Little Kids Teenage Mutant Ninja Turtles Shell Wat,B00BQF1IP4,Teenage Mutant Ninja Turtles,106
106,B009AWEAZU,Calico Critters Chocolate Labrador Triplets,B009AWEAZU,Calico Critters,107
107,B00DOQCWF8,Minecraft Animal 6 Pack,B00DOQCWF8,Minecraft,108
108,B00DS5FBP8,Minecraft Survival Pack,B00DS5FBP8,Minecraft,109
109,B00IWOI3PU,Fisher-Price Laugh & Learn Smart Stages Vacuum,B00IWOI3PU,Fisher-Price,110
110,B00F4MB1OI,"Teenage Mutant Ninja Turtles, Ninjas in Training M",B00F4MB1OI,Teenage Mutant Ninja Turtles,111
111,B001859AOS,Fun Express Dinosaur Temporary Tattoo Stickers - 7,B001859AOS,Fun Express,112
112,B007GJO47I,Fun Express Glow-In-The-Dark Star Tattoos 72 Piece,B007GJO47I,Fun Express,113
113,B00GV2FPB0,LEGO Creator Mountain Hut 31025,B00GV2FPB0,LEGO,114
114,B010GB6TZ2,"Play-Doh UPC 2 X Party Bag Dough, 15 Count (Assort",B010GB6TZ2,Play-Doh,115
115,B00NVKJAKW,Imagination Generation Little Professionals Wooden,B00NVKJAKW,Imagination Generation,116
116,B00JKNRYPM,Disney Frozen Snow Glow Elsa Singing Doll (Discont,B00JKNRYPM,Disney Frozen,117
117,B00CN8AGE2,"LeapFrog LeapPad Ultra Gel Skin, Purple",B00CN8AGE2,LeapFrog,118
118,B00CN8AHVY,"LeapFrog LeapPad 7"" Carrying Case, Purple (wo",B00CN8AHVY,LeapFrog,119
119,B00CV7BX9C,LeapFrog Car Adapter for LeapPad Ultra and LeapRea,B00CV7BX9C,LeapFrog,120
120,B00J3LXLNA,Paw Patrol Look-out Playset,B00J3LXLNA,Paw Patrol,121
121,B00CXLQG16,"Hasbro Easy-Bake Ultimate Oven, Black/Silver",B00CXLQG16,Hasbro,122
122,B00CFELV48,Stormtrooper #09 Star Wars Black Series 6 Inch Act,B00CFELV48,Star Wars,123
123,B00IANUDTM,LEGO Juniors 10668 The Princess Play Castle,B00IANUDTM,LEGO,124
124,B004BW8Z14,Hape Shake and Match Toddler Wooden Shape Sorter T,B004BW8Z14,Hape,125
125,B00GHPHVS6,DC Collectibles DC Comics Designer Action Figures,B00GHPHVS6,DC Collectibles,126
126,B00JPIQOQC,DC Collectibles DC Comics - The New 52: Batgirl Ac,B00JPIQOQC,DC Collectibles,127
