uid,iid,his_len,hist_id,rating,label,hist_rating,hist_label,timestamp
3402,18129,10,"[13452, 14024, 13517, 13632, 9664, 13127, 14112, 13861, 14036, 17711]",4.0,0,"[5.0, 5.0, 4.0, 5.0, 4.0, 3.0, 4.0, 5.0, 5.0, 1.0]","[1, 1, 0, 1, 0, 0, 0, 1, 1, 0]",1471996800
435,19334,10,"[18918, 18933, 18959, 18998, 19054, 19207, 19226, 19205, 18864, 19202]",3.0,0,"[5.0, 5.0, 3.0, 3.0, 5.0, 5.0, 3.0, 4.0, 4.0, 4.0]","[1, 1, 0, 0, 1, 1, 0, 0, 0, 0]",1477785600
1083,20133,10,"[8629, 10558, 456, 7085, 8423, 14821, 15093, 16789, 17372, 17702]",5.0,1,"[5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1491004800
10829,814,10,"[3477, 10775, 13478, 8692, 8606, 15344, 9937, 12444, 12445, 813]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1453939200
8175,5274,10,"[6475, 802, 1122, 1221, 1703, 2903, 4680, 5067, 5217, 5256]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1454457600
3515,20351,10,"[17081, 17537, 1761, 2571, 15563, 16538, 19436, 20127, 11171, 20350]",4.0,0,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1495756800
14046,19645,10,"[8877, 9648, 7719, 19555, 8173, 13907, 13924, 14589, 15200, 18077]",5.0,1,"[5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",1485475200
2146,18447,10,"[10297, 11519, 11664, 12032, 12205, 12233, 13973, 14568, 14345, 15912]",3.0,0,"[5.0, 5.0, 4.0, 5.0, 4.0, 4.0, 5.0, 4.0, 5.0, 4.0]","[1, 1, 0, 1, 0, 0, 1, 0, 1, 0]",1471132800
732,12067,10,"[9208, 9155, 9337, 9371, 1786, 10193, 10467, 11547, 9529, 11961]",4.0,0,"[3.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0]","[0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",1438560000
15038,738,10,"[8098, 8917, 3143, 9874, 10123, 13369, 14858, 15552, 15718, 5214]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1477872000
11890,2926,10,"[118, 798, 1089, 1157, 1615, 1620, 1860, 2293, 2838, 2925]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1445904000
17311,12756,10,"[10285, 10476, 13305, 13622, 14645, 16169, 16241, 16657, 19628, 1292]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1480723200
115,361,10,"[7835, 8312, 8484, 8608, 8674, 9200, 11198, 12087, 12611, 14812]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1449964800
7802,5542,10,"[3062, 9190, 7548, 7816, 15888, 1093, 2699, 10082, 15982, 3621]",5.0,1,"[5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 0]",1469577600
9772,19147,10,"[8481, 9646, 10320, 16754, 15227, 16642, 20337, 7942, 2836, 7800]",4.0,0,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1493251200
15842,14445,10,"[1791, 3702, 7129, 8512, 9461, 11437, 11498, 12329, 13771, 14099]",5.0,1,"[5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 0]",1465171200
12391,1471,10,"[2149, 1038, 4400, 8918, 15285, 16302, 4324, 13417, 533, 533]",5.0,1,"[3.0, 5.0, 2.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[0, 1, 0, 0, 0, 1, 1, 1, 1, 1]",1467763200
13913,14008,10,"[3198, 4189, 7229, 8799, 9086, 9485, 11175, 11618, 12268, 12944]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1454198400
906,18298,10,"[18364, 18364, 8573, 18839, 18978, 18906, 19041, 18293, 17949, 19080]",5.0,1,"[5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0]","[1, 1, 1, 0, 1, 1, 1, 0, 1, 1]",1474934400
8868,2566,10,"[2630, 14703, 5944, 1288, 1668, 18014, 14356, 18206, 11535, 321]",5.0,1,"[3.0, 5.0, 5.0, 3.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0]","[0, 1, 1, 0, 1, 1, 0, 1, 1, 1]",1472256000
6501,12800,10,"[8063, 11628, 11879, 12078, 12473, 12504, 12482, 12710, 12464, 12209]",3.0,0,"[4.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 2.0]","[0, 1, 0, 0, 1, 1, 1, 1, 0, 0]",1442448000
14842,14126,10,"[6664, 7088, 10099, 10813, 11229, 11266, 12299, 12657, 13166, 13813]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1457395200
15452,2890,10,"[13940, 14887, 17447, 7826, 17418, 17493, 11573, 3583, 13972, 17616]",5.0,1,"[4.0, 3.0, 3.0, 5.0, 4.0, 3.0, 4.0, 5.0, 4.0, 4.0]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",1464048000
6221,15543,10,"[7565, 7895, 7921, 8524, 10365, 14741, 16133, 16134, 280, 10057]",4.0,0,"[5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0]","[1, 1, 1, 1, 1, 0, 1, 1, 0, 1]",1453334400
18443,13944,10,"[96, 799, 978, 2577, 4565, 6256, 11401, 11502, 13568, 13925]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1487376000
17572,11394,10,"[14869, 15481, 15485, 15488, 18291, 3238, 3638, 4379, 8947, 8295]",5.0,1,"[4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 1]",1488412800
9944,17829,10,"[80, 1157, 2720, 3299, 4238, 4565, 13925, 13944, 14644, 15284]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1494460800
1996,3083,10,"[3043, 1357, 10881, 12107, 12328, 13321, 13322, 1291, 1291, 2459]",5.0,1,"[4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1449360000
1750,2970,10,"[2987, 2988, 2989, 2990, 2991, 2992, 2993, 2994, 2995, 2996]",3.0,0,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1425513600
156,19297,10,"[18925, 19077, 18864, 17949, 19465, 19256, 19282, 19500, 19591, 19406]",4.0,0,"[4.0, 5.0, 5.0, 3.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0]","[0, 1, 1, 0, 1, 0, 1, 1, 1, 1]",1478736000
533,6925,10,"[17987, 18243, 18142, 18129, 18102, 18234, 8496, 18008, 18148, 6301]",4.0,0,"[4.0, 4.0, 4.0, 4.0, 3.0, 5.0, 4.0, 3.0, 3.0, 4.0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1469836800
9502,16250,10,"[2683, 3284, 5337, 10566, 1083, 13209, 13461, 13484, 15079, 12480]",5.0,1,"[5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",1457395200
11317,6895,10,"[12614, 13590, 13591, 569, 903, 1443, 1443, 2375, 4553, 6142]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",1449878400
9916,16352,10,"[1275, 1615, 1920, 12043, 5917, 6998, 9213, 3668, 3523, 3523]",5.0,1,"[3.0, 5.0, 5.0, 5.0, 3.0, 4.0, 3.0, 5.0, 5.0, 5.0]","[0, 1, 1, 1, 0, 0, 0, 1, 1, 1]",1479686400
9779,18695,10,"[11591, 12223, 12280, 13554, 16543, 16584, 5726, 18584, 18754, 18782]",5.0,1,"[4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 1.0]","[0, 0, 0, 1, 1, 1, 1, 0, 1, 0]",1473033600
740,5081,10,"[1129, 4858, 2089, 2247, 5080, 5707, 1896, 1897, 3576, 4347]",5.0,1,"[5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1446336000
10457,5395,10,"[11834, 2654, 2741, 849, 12947, 14129, 589, 953, 953, 12122]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 1.0, 1.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 0, 0, 1, 1, 1, 1]",1462665600
840,15558,10,"[953, 1341, 2088, 4416, 11238, 188, 4488, 9920, 3658, 12083]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 1.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",1496793600
9280,6357,10,"[10288, 11174, 11042, 11439, 12577, 14358, 1036, 7185, 10971, 15684]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1]",1459296000
10464,9368,10,"[12566, 4944, 141, 2312, 3701, 4667, 4695, 4925, 5943, 9168]",5.0,1,"[5.0, 1.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0]","[1, 0, 1, 1, 1, 1, 1, 1, 0, 1]",1484697600
9166,7943,10,"[2783, 2877, 3338, 3432, 3703, 4889, 6249, 7283, 7370, 7828]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1433635200
13187,19645,10,"[12682, 16748, 362, 8815, 15290, 17078, 18915, 18941, 19021, 19866]",5.0,1,"[5.0, 2.0, 3.0, 5.0, 3.0, 4.0, 5.0, 5.0, 5.0, 2.0]","[1, 0, 0, 1, 0, 0, 1, 1, 1, 0]",1496016000
513,382,10,"[121, 333, 444, 693, 807, 808, 809, 810, 811, 56]",5.0,1,"[2.0, 5.0, 2.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0]","[0, 1, 0, 1, 1, 0, 1, 1, 0, 1]",1420156800
802,4152,10,"[385, 2035, 2471, 3337, 3788, 3789, 3790, 3791, 1052, 1357]",5.0,1,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1444953600
476,3488,10,"[3974, 5548, 5654, 3090, 7163, 6956, 7348, 7417, 8108, 8799]",5.0,1,"[4.0, 4.0, 5.0, 4.0, 5.0, 3.0, 4.0, 4.0, 3.0, 5.0]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",1424736000
435,2112,10,"[12972, 11828, 13107, 13077, 13111, 13090, 14356, 12845, 13182, 2112]",5.0,1,"[5.0, 5.0, 4.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 0, 1, 0, 1, 1, 1, 1, 1]",1447286400
2119,15807,10,"[3189, 3679, 3190, 4922, 4923, 747, 747, 9960, 14530, 15329]",3.0,0,"[5.0, 5.0, 5.0, 4.0, 2.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[1, 1, 1, 0, 0, 1, 1, 1, 1, 1]",1473724800
5697,13206,10,"[10854, 11580, 12271, 12657, 14621, 15625, 13934, 9440, 1048, 13067]",5.0,1,"[5.0, 4.0, 4.0, 1.0, 5.0, 4.0, 5.0, 2.0, 5.0, 5.0]","[1, 0, 0, 0, 1, 0, 1, 0, 1, 1]",1474848000
1333,7687,10,"[2222, 2223, 1828, 3422, 6760, 3527, 1610, 2590, 907, 7554]",5.0,1,"[5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 2.0, 5.0, 5.0, 4.0]","[1, 1, 0, 1, 1, 1, 0, 1, 1, 0]",1446508800
5703,12694,10,"[1595, 1663, 2522, 6293, 6567, 731, 2914, 5161, 1407, 2386]",5.0,1,"[5.0, 5.0, 5.0, 2.0, 5.0, 5.0, 2.0, 5.0, 5.0, 5.0]","[1, 1, 1, 0, 1, 1, 0, 1, 1, 1]",1453420800
8863,17175,10,"[12856, 12498, 13089, 12675, 13786, 13964, 13632, 14329, 13800, 18695]",5.0,1,"[4.0, 4.0, 5.0, 4.0, 5.0, 3.0, 3.0, 5.0, 5.0, 4.0]","[0, 0, 1, 0, 1, 0, 0, 1, 1, 0]",1475971200
